"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 08, 2022","132.10","125.10","135.60","124.20","20.44M","6.28%"
"Sep 07, 2022","124.30","121.10","125.50","121.10","12.24M","2.64%"
"Sep 06, 2022","121.10","121.00","122.10","119.10","6.24M","0.75%"
"Sep 05, 2022","120.20","123.00","124.60","119.70","4.38M","-2.75%"
"Sep 04, 2022","123.60","124.90","127.30","121.90","9.48M","0.00%"
"Sep 01, 2022","123.60","119.50","124.40","118.80","10.14M","4.48%"
"Aug 31, 2022","118.30","120.70","120.70","117.60","6.27M","-0.84%"
"Aug 30, 2022","119.30","122.30","122.30","118.40","7.72M","-1.40%"
"Aug 29, 2022","121.00","121.00","122.10","120.00","7.02M","0.67%"
"Aug 28, 2022","120.20","127.10","127.10","118.80","8.78M","0.92%"
"Aug 25, 2022","119.10","118.70","120.40","117.60","8.23M","0.00%"
"Aug 24, 2022","119.10","122.40","122.50","118.30","4.06M","-3.09%"
"Aug 23, 2022","122.90","123.50","124.50","121.40","8.79M","0.57%"
"Aug 22, 2022","122.20","121.70","122.70","119.90","10.38M","1.66%"
"Aug 21, 2022","120.20","120.80","121.50","118.20","7.99M","-0.41%"
"Aug 17, 2022","120.70","119.50","121.40","119.20","6.81M","1.26%"
"Aug 16, 2022","119.20","118.00","119.80","116.90","7.03M","1.71%"
"Aug 14, 2022","117.20","117.70","118.60","116.70","3.82M","0.09%"
"Aug 11, 2022","117.10","118.60","119.10","115.70","7.13M","-1.26%"
"Aug 10, 2022","118.60","122.50","122.70","116.70","5.55M","-3.34%"
"Aug 08, 2022","122.70","126.00","127.30","121.00","6.48M","-2.31%"
"Aug 07, 2022","125.60","127.00","127.80","123.50","8.07M","-1.80%"
"Aug 04, 2022","127.90","127.00","128.50","125.90","7.86M","0.71%"
"Aug 03, 2022","127.00","123.50","127.30","123.20","7.88M","3.08%"
"Aug 02, 2022","123.20","118.90","123.80","118.50","7.43M","3.79%"
"Aug 01, 2022","118.70","116.80","119.80","116.40","3.74M","1.63%"
"Jul 31, 2022","116.80","115.70","117.40","115.60","2.56M","2.28%"
"Jul 28, 2022","114.20","113.40","115.80","113.40","3.12M","-1.30%"
"Jul 27, 2022","115.70","116.00","118.90","115.70","2.27M","-1.95%"
"Jul 26, 2022","118.00","118.00","120.50","116.80","6.77M","1.72%"
"Jul 25, 2022","116.00","112.50","116.60","112.10","3.99M","1.49%"
"Jul 24, 2022","114.30","115.00","115.90","114.30","564.02K","-1.97%"
"Jul 21, 2022","116.60","119.80","121.80","116.60","2.01M","-1.93%"
"Jul 20, 2022","118.90","118.70","122.00","118.70","4.36M","-1.82%"
"Jul 19, 2022","121.10","123.00","123.00","121.10","275.79K","-1.94%"
"Jul 18, 2022","123.50","126.00","126.10","123.50","2.15M","-1.98%"
"Jul 17, 2022","126.00","127.00","128.50","125.50","3.13M","-1.56%"
"Jul 14, 2022","128.00","128.60","129.80","127.60","2.39M","-0.54%"
"Jul 13, 2022","128.70","130.10","130.90","127.80","3.25M","-1.08%"
"Jul 12, 2022","130.10","130.90","133.30","129.50","3.92M","-1.29%"
"Jul 07, 2022","131.80","131.80","134.40","130.50","4.03M","-0.83%"
"Jul 06, 2022","132.90","133.00","135.00","132.00","4.16M","0.08%"
"Jul 05, 2022","132.80","129.30","134.50","129.10","7.17M","2.79%"
"Jul 04, 2022","129.20","129.50","131.80","128.80","1.47M","-1.60%"
"Jul 03, 2022","131.30","130.70","131.90","129.30","2.11M","1.16%"
"Jun 30, 2022","129.80","131.90","132.00","129.40","2.81M","-1.07%"
"Jun 29, 2022","131.20","131.50","133.50","130.70","1.76M","-0.91%"
"Jun 28, 2022","132.40","131.80","133.20","131.30","2.20M","0.08%"
"Jun 27, 2022","132.30","131.50","133.10","131.00","3.48M","0.08%"
"Jun 26, 2022","132.20","135.80","135.90","132.20","1.46M","-1.93%"
"Jun 23, 2022","134.80","135.70","136.20","133.40","2.92M","-0.15%"
"Jun 22, 2022","135.00","135.40","135.90","133.70","3.32M","-1.03%"
"Jun 21, 2022","136.40","139.20","139.50","136.40","2.80M","-1.94%"
"Jun 20, 2022","139.10","138.20","141.50","137.60","6.00M","0.65%"
"Jun 19, 2022","138.20","136.00","140.00","135.00","8.25M","2.67%"
"Jun 16, 2022","134.60","131.80","135.40","131.10","5.26M","2.51%"
"Jun 15, 2022","131.30","128.30","132.80","128.00","4.97M","3.06%"
"Jun 14, 2022","127.40","129.70","129.70","127.10","1.86M","-1.55%"
"Jun 13, 2022","129.40","131.00","132.00","129.30","1.44M","-1.90%"
"Jun 12, 2022","131.90","132.50","133.00","130.30","2.18M","-0.45%"
"Jun 09, 2022","132.50","133.80","133.80","131.70","3.36M","-0.08%"
"Jun 08, 2022","132.60","133.20","134.20","131.60","4.22M","0.00%"
"Jun 07, 2022","132.60","135.00","135.00","132.10","1.89M","-1.04%"
"Jun 06, 2022","134.00","134.50","135.40","132.60","3.42M","-0.74%"
"Jun 05, 2022","135.00","135.00","135.70","133.20","2.86M","0.15%"
"Jun 02, 2022","134.80","135.80","136.00","133.30","3.73M","0.30%"
"Jun 01, 2022","134.40","135.60","135.60","133.80","2.61M","-0.37%"
"May 31, 2022","134.90","137.40","137.40","133.70","3.78M","-0.88%"
"May 30, 2022","136.10","136.30","136.70","134.80","4.79M","-0.15%"
